,pressStart,pressStop,label,max beta,max gamma,min beta,min gamma,mean beta,mean gamma
145,1619146619406,1619146619478,3,,,,,,
146,1619146624057,1619146624134,1,,,,,,
147,1619146625606,1619146625676,5,,,,,,
148,1619146626538,1619146626627,6,-0.00026391523296482406,-0.0027895789659296484,-0.00026391523296482406,-0.0027895789659296484,0.0,0.0
149,1619146627424,1619146627512,4,,,,,,
150,1619146628275,1619146628347,2,,,,,,
151,1619146629199,1619146629274,8,0.0008013815670351761,-0.0006589851659296482,0.0008013815670351761,-0.0006589851659296482,0.0,0.0
152,1619146634015,1619146634129,7,,,,,,
153,1619146634649,1619146634720,7,,,,,,
154,1619146635425,1619146635488,8,,,,,,
155,1619146636007,1619146636098,4,-0.00026391523296482406,-0.014507845265929648,-0.00026391523296482406,-0.014507845265929648,0.0,0.0
156,1619146637254,1619146637334,9,,,,,,
157,1619146640634,1619146640720,8,,,,,,
158,1619146641527,1619146641605,5,,,,,,
159,1619146642359,1619146642463,6,-0.00026391523296482406,0.0025369056340703517,-0.00026391523296482406,0.0025369056340703517,0.0,0.0
160,1619146644036,1619146644108,2,,,,,,
161,1619146645190,1619146645293,1,-0.001329212232964824,-0.030487298265929646,-0.001329212232964824,-0.030487298265929646,0.0,0.0
162,1619146647750,1619146647820,5,,,,,,
163,1619146648548,1619146648647,4,0.0008013815670351761,0.02171225173407035,0.0008013815670351761,0.02171225173407035,0.0,0.0
164,1619146649324,1619146649422,6,,,,,,
165,1619146650042,1619146650139,2,,,,,,
166,1619146651279,1619146651358,3,,,,,,
167,1619146656345,1619146656397,9,,,,,,
168,1619146657654,1619146657725,5,,,,,,
169,1619146658252,1619146658325,6,,,,,,
170,1619146658879,1619146658960,3,,,,,,
171,1619146659812,1619146659885,1,-0.001329212232964824,-0.03687907826592965,-0.001329212232964824,-0.03687907826592965,0.0,0.0
172,1619146662653,1619146662747,4,,,,,,
173,1619146663851,1619146663933,5,,,,,,
174,1619146664469,1619146664550,6,,,,,,
175,1619146665155,1619146665242,7,-0.0034598060329648237,-0.0059854696659296484,-0.0034598060329648237,-0.0059854696659296484,0.0,0.0
176,1619146665955,1619146666026,8,,,,,,
177,1619146667116,1619146667195,1,,,,,,
178,1619146667781,1619146667863,1,-0.00026391523296482406,0.004667499434070352,-0.00026391523296482406,0.004667499434070352,0.0,0.0
179,1619146668392,1619146668505,2,0.0008013815670351761,-0.0017242821659296482,0.0008013815670351761,-0.0017242821659296482,0.0,0.0
180,1619146669520,1619146669607,8,,,,,,
181,1619146670443,1619146670525,7,,,,,,
182,1619146672400,1619146672478,9,0.0008013815670351761,0.008928687234070351,0.0008013815670351761,0.008928687234070351,0.0,0.0
183,1619146673298,1619146673386,5,,,,,,
184,1619146673939,1619146674030,6,,,,,,
185,1619146674649,1619146674738,9,,,,,,
186,1619146676167,1619146676223,4,,,,,,
187,1619146695453,1619146695547,1,-0.00026391523296482406,-0.004920173265929648,-0.00026391523296482406,-0.004920173265929648,0.0,0.0
188,1619146696571,1619146696633,2,,,,,,
189,1619146697294,1619146697375,8,,,,,,
190,1619146698030,1619146698101,7,-0.00026391523296482406,-0.018769033265929647,-0.00026391523296482406,-0.018769033265929647,0.0,0.0
191,1619146698664,1619146698744,4,-0.001329212232964824,-0.009181361265929649,-0.001329212232964824,-0.009181361265929649,0.0,0.0
192,1619146701869,1619146701956,6,-0.00026391523296482406,0.003602202434070352,-0.00026391523296482406,0.003602202434070352,0.0,0.0
193,1619146702718,1619146702816,6,,,,,,
194,1619146703243,1619146703333,9,0.0029319758670351757,0.03129992173407035,0.0029319758670351757,0.03129992173407035,0.0,0.0
195,1619146703894,1619146703968,2,,,,,,
196,1619146704804,1619146704903,3,-0.00026391523296482406,-0.0059854696659296484,-0.00026391523296482406,-0.0059854696659296484,0.0,0.0
197,1619146709497,1619146709599,5,,,,,,
198,1619146710480,1619146710560,3,,,,,,
199,1619146711196,1619146711278,8,-0.001329212232964824,0.0004063117340703517,-0.001329212232964824,0.0004063117340703517,0.0,0.0
200,1619146712171,1619146712246,4,,,,,,
201,1619146713023,1619146713106,6,-0.00026391523296482406,0.0057327967340703515,-0.00026391523296482406,0.0057327967340703515,0.0,0.0
202,1619146715873,1619146715934,2,0.0008013815670351761,-0.0006589851659296482,0.0008013815670351761,-0.0006589851659296482,0.0,0.0
203,1619146716595,1619146716652,5,,,,,,
204,1619146717222,1619146717336,8,-0.00026391523296482406,0.0004063117340703517,-0.00026391523296482406,0.0004063117340703517,0.0,0.0
205,1619146717989,1619146718061,9,,,,,,
206,1619146719094,1619146719197,7,,,,,,
207,1619146720319,1619146720381,6,,,,,,
208,1619146721061,1619146721148,5,0.0018666785670351763,0.0004063117340703517,0.0018666785670351763,0.0004063117340703517,0.0,0.0
209,1619146721694,1619146721792,6,,,,,,
210,1619146722619,1619146722677,9,,,,,,
211,1619146723597,1619146723695,7,-0.00026391523296482406,0.01212457873407035,-0.00026391523296482406,0.01212457873407035,0.0,0.0
212,1619146726121,1619146726198,2,,,,,,
213,1619146727110,1619146727192,5,,,,,,
214,1619146727854,1619146727925,3,0.0008013815670351761,0.007863390134070352,0.0008013815670351761,0.007863390134070352,0.0,0.0
215,1619146728570,1619146728660,6,,,,,,
216,1619146729621,1619146729711,1,0.0008013815670351761,0.01425517173407035,0.0008013815670351761,0.01425517173407035,0.0,0.0
217,1619146730744,1619146730812,5,,,,,,
218,1619146731582,1619146731647,6,,,,,,
219,1619146732477,1619146732565,7,0.0008013815670351761,-0.018769033265929647,0.0008013815670351761,-0.018769033265929647,0.0,0.0
220,1619146733989,1619146734067,7,,,,,,
221,1619146734821,1619146734911,8,-0.001329212232964824,0.0014716086340703517,-0.001329212232964824,0.0014716086340703517,0.0,0.0
