,pressStart,pressStop,label,mean gyro(y),mean gyro(z)
131,1619146592804,1619146592889,4,,
132,1619146596932,1619146596993,2,0.002919126942010072,0.002503179801557833
133,1619146597905,1619146597998,2,-0.005196936823919578,0.0023415116524623564
134,1619146598983,1619146599063,5,-0.006921218989849226,0.0021798435033668797
135,1619146600096,1619146600180,4,,
136,1619146601352,1619146601441,6,0.030770482744221127,0.002018175354271403
137,1619146604969,1619146605028,2,0.026915606778291478,0.0018565072051759265
138,1619146605964,1619146606063,8,0.02519132461236183,0.0016948390560804498
139,1619146607076,1619146607164,7,,
140,1619146608095,1619146608183,7,,
141,1619146609929,1619146610001,9,0.02133644864643218,0.0015331709069849732
142,1619146617098,1619146617183,5,,
143,1619146618069,1619146618160,5,,
144,1619146618694,1619146618794,6,,
145,1619146619406,1619146619478,3,,
146,1619146624057,1619146624134,1,,
147,1619146625606,1619146625676,5,,
148,1619146626538,1619146626627,6,0.01854686968050253,0.0013715027578894965
149,1619146627424,1619146627512,4,,
150,1619146628275,1619146628347,2,,
151,1619146629199,1619146629274,8,0.01788788451457288,0.0012098346087940199
152,1619146634015,1619146634129,7,,
153,1619146634649,1619146634720,7,,
154,1619146635425,1619146635488,8,,
155,1619146636007,1619146636098,4,0.0033800392486432324,0.0010481664596985432
156,1619146637254,1619146637334,9,,
157,1619146640634,1619146640720,8,,
158,1619146641527,1619146641605,5,,
159,1619146642359,1619146642463,6,0.005916944882713584,0.0008864983106030666
160,1619146644036,1619146644108,2,,
161,1619146645190,1619146645293,1,-0.024570353383216063,0.00072483016150759
162,1619146647750,1619146647820,5,,
163,1619146648548,1619146648647,4,-0.002858101649145711,0.0005631620124121133
164,1619146649324,1619146649422,6,,
165,1619146650042,1619146650139,2,,
166,1619146651279,1619146651358,3,,
167,1619146656345,1619146656397,9,,
168,1619146657654,1619146657725,5,,
169,1619146658252,1619146658325,6,,
170,1619146658879,1619146658960,3,,
171,1619146659812,1619146659885,1,-0.03973717991507536,0.0014667906633166368
172,1619146662653,1619146662747,4,,
173,1619146663851,1619146663933,5,,
174,1619146664469,1619146664550,6,,
175,1619146665155,1619146665242,7,-0.04572264958100501,0.00023982551422116016
176,1619146665955,1619146666026,8,,
177,1619146667116,1619146667195,1,,
178,1619146667781,1619146667863,1,-0.04105515014693466,7.815736512568352e-05
179,1619146668392,1619146668505,2,-0.0427794323128643,0.000981786016030207
180,1619146669520,1619146669607,8,,
181,1619146670443,1619146670525,7,,
182,1619146672400,1619146672478,9,-0.03385074507879395,0.0008201178669347304
183,1619146673298,1619146673386,5,,
184,1619146673939,1619146674030,6,,
185,1619146674649,1619146674738,9,,
186,1619146676167,1619146676223,4,,
187,1619146695453,1619146695547,1,-0.0387709183447236,0.0006584497178392537
188,1619146696571,1619146696633,2,,
189,1619146697294,1619146697375,8,,
190,1619146698030,1619146698101,7,-0.05753995161065324,0.0004967815687437771
191,1619146698664,1619146698744,4,-0.0667213128765829,0.0014004102196483006
192,1619146701869,1619146701956,6,-0.06311911044251255,0.001238742070552824
193,1619146702718,1619146702816,6,,
194,1619146703243,1619146703333,9,-0.0318191887084422,0.0010770739214573473
195,1619146703894,1619146703968,2,,
196,1619146704804,1619146704903,3,-0.037804658374371844,0.0009154057723618706
197,1619146709497,1619146709599,5,,
198,1619146710480,1619146710560,3,,
199,1619146711196,1619146711278,8,-0.03739834664030149,0.0018190344232663941
200,1619146712171,1619146712246,4,,
201,1619146713023,1619146713106,6,-0.03166554990623114,0.002722663074170918
202,1619146715873,1619146715934,2,-0.032324535072160786,0.002560994925075441
203,1619146716595,1619146716652,5,,
204,1619146717222,1619146717336,8,-0.03191822333809043,0.0023993267759799645
205,1619146717989,1619146718061,9,,
206,1619146719094,1619146719197,7,,
207,1619146720319,1619146720381,6,,
208,1619146721061,1619146721148,5,-0.03151191160402008,0.002237658626884488
209,1619146721694,1619146721792,6,,
210,1619146722619,1619146722677,9,,
211,1619146723597,1619146723695,7,-0.01938733286994973,0.0020759904777890113
