timestamp,gyro(x),gyro(y),gyro(z)
1619039429567,-3.0517578E-5,-6.5612793E-4,-4.5776367E-5
1619039429756,-5.493164E-4,0.0016937256,-4.5776367E-5
1619039429956,-3.0517578E-5,-1.5258789E-5,3.8146973E-4
1619039430159,7.6293945E-5,-1.5258789E-5,2.746582E-4
1619039430475,7.6293945E-5,-2.2888184E-4,6.1035156E-5
1619039430635,7.6293945E-5,9.1552734E-5,3.8146973E-4
1619039430838,-2.4414062E-4,1.9836426E-4,-1.5258789E-4
1619039431038,-1.373291E-4,-2.2888184E-4,-2.593994E-4
1619039431234,1.8310547E-4,4.119873E-4,-1.5258789E-4
1619039431433,-3.0517578E-5,4.119873E-4,1.6784668E-4
1619039431637,1.8310547E-4,1.9836426E-4,1.6784668E-4
1619039431837,7.6293945E-5,-1.2207031E-4,3.8146973E-4
1619039432033,-2.4414062E-4,0.001159668,-4.5776367E-5
1619039432236,-3.0517578E-5,3.0517578E-4,-4.5776367E-5
1619039432436,-1.373291E-4,1.9836426E-4,1.6784668E-4
1619039432636,-1.373291E-4,-1.5258789E-5,-4.5776367E-5
1619039432831,1.8310547E-4,4.119873E-4,6.1035156E-5
1619039433032,-2.4414062E-4,1.9836426E-4,6.1035156E-5
1619039433232,1.8310547E-4,1.9836426E-4,3.8146973E-4
1619039433434,-1.373291E-4,4.119873E-4,3.8146973E-4
1619039433631,-3.0517578E-5,6.2561035E-4,-1.5258789E-4
1619039433834,7.6293945E-5,9.1552734E-5,-4.5776367E-5
1619039433998,7.6293945E-5,9.1552734E-5,-1.5258789E-4
1619039434191,-3.0517578E-5,4.119873E-4,-4.5776367E-5
1619039434390,-2.4414062E-4,1.9836426E-4,-2.593994E-4
1619039434593,-4.5776367E-4,1.9836426E-4,1.6784668E-4
1619039434794,-4.5776367E-4,-1.2207031E-4,-1.5258789E-4
1619039434993,1.8310547E-4,5.187988E-4,-1.5258789E-4
1619039435193,-3.0517578E-5,3.0517578E-4,6.1035156E-5
1619039435390,2.89917E-4,8.392334E-4,-4.5776367E-5
1619039435587,-3.0517578E-5,9.1552734E-5,-2.593994E-4
1619039435790,-3.0517578E-5,1.9836426E-4,-2.593994E-4
1619039435990,-1.373291E-4,9.460449E-4,-1.5258789E-4
1619039436192,-3.0517578E-5,3.0517578E-4,-3.6621094E-4
1619039436391,-1.373291E-4,3.0517578E-4,6.1035156E-5
1619039436591,7.6293945E-5,4.119873E-4,-2.593994E-4
1619039438185,-1.373291E-4,0.001159668,-2.593994E-4
1619039438385,-4.4250488E-4,-5.493164E-4,-4.5776367E-5
1619039438587,1.8310547E-4,7.324219E-4,2.746582E-4
1619039438787,-3.3569336E-4,1.9836426E-4,6.1035156E-5
1619039438988,-3.0517578E-5,1.9836426E-4,6.1035156E-5
1619039439191,-3.5095215E-4,0.001373291,-4.5776367E-5
1619039439384,1.8310547E-4,-0.0011901855,6.1035156E-5
1619039439585,-1.373291E-4,4.119873E-4,6.1035156E-5
1619039439783,-3.3569336E-4,0.0020141602,-5.79834E-4
1619039439983,7.6293945E-5,-0.0012969971,2.746582E-4
1619039440186,-3.0517578E-5,1.9836426E-4,-2.593994E-4
1619039440381,-2.4414062E-4,6.2561035E-4,-1.5258789E-4
1619039440582,-1.373291E-4,9.1552734E-5,2.746582E-4
1619039440782,-3.0517578E-5,4.119873E-4,6.1035156E-5
1619039440983,-3.0517578E-5,3.0517578E-4,2.746582E-4
1619039441185,-4.4250488E-4,5.187988E-4,-4.5776367E-5
1619039441385,-1.373291E-4,6.2561035E-4,1.6784668E-4
1619039441580,-1.373291E-4,5.187988E-4,1.6784668E-4
1619039441780,2.89917E-4,5.187988E-4,1.6784668E-4
1619039441981,-2.4414062E-4,1.9836426E-4,1.6784668E-4
1619039442181,7.6293945E-5,4.119873E-4,-1.5258789E-4
1619039442379,-1.373291E-4,3.0517578E-4,-2.593994E-4
1619039442580,1.8310547E-4,4.119873E-4,6.1035156E-5
1619039442783,-3.0517578E-5,6.2561035E-4,2.746582E-4
1619039442941,-1.373291E-4,-1.2207031E-4,4.8828125E-4
1619039443139,-3.5095215E-4,6.2561035E-4,-4.5776367E-5
1619039443338,-3.0517578E-5,5.187988E-4,3.8146973E-4
1619039443542,-3.5095215E-4,9.1552734E-5,-3.6621094E-4
1619039443738,-3.0517578E-5,1.9836426E-4,6.1035156E-5
1619039443941,-3.3569336E-4,5.187988E-4,6.1035156E-5
1619039444141,-3.0517578E-5,4.119873E-4,-4.5776367E-5
1619039444341,-4.4250488E-4,1.9836426E-4,-2.593994E-4
1619039444541,-3.0517578E-5,6.2561035E-4,1.6784668E-4
1619039444743,1.8310547E-4,-0.0022583008,1.6784668E-4
1619039444937,-3.5095215E-4,0.0027618408,2.746582E-4
1619039445136,-3.0517578E-5,-1.5258789E-5,-4.5776367E-5
1619039445340,7.6293945E-5,9.1552734E-5,6.1035156E-5
1619039445535,-2.2888184E-4,9.1552734E-5,-4.7302246E-4
1619039445735,7.6293945E-5,-1.5258789E-5,-4.5776367E-5
1619039445939,2.89917E-4,1.9836426E-4,6.1035156E-5
1619039446138,-3.0517578E-5,3.0517578E-4,-2.593994E-4
1619039446335,-1.373291E-4,-1.2207031E-4,6.1035156E-5
1619039446538,-3.3569336E-4,5.187988E-4,-1.5258789E-4
1619039576327,-6.1035156E-5,1.5258789E-4,3.6621094E-4
1619039576530,-1.6784668E-4,-1.6784668E-4,-2.746582E-4
1619039576731,-1.6784668E-4,-2.746582E-4,-6.1035156E-5
1619039576927,-1.6784668E-4,2.593994E-4,-1.6784668E-4
1619039577130,4.5776367E-5,-2.746582E-4,-1.6784668E-4
1619039577330,4.5776367E-5,-2.746582E-4,3.6621094E-4
1619039577530,3.6621094E-4,2.593994E-4,-6.1035156E-5
1619039577730,1.5258789E-4,1.5258789E-4,-3.8146973E-4
1619039577930,-1.6784668E-4,1.5258789E-4,-2.746582E-4
1619039578125,-1.6784668E-4,1.5258789E-4,-2.746582E-4
1619039578326,2.593994E-4,1.5258789E-4,-1.6784668E-4
1619039578528,1.5258789E-4,-7.019043E-4,2.593994E-4
1619039578724,-1.6784668E-4,2.593994E-4,4.5776367E-5
1619039578925,5.79834E-4,-1.6784668E-4,-2.746582E-4
1619039579126,3.6621094E-4,4.5776367E-5,3.6621094E-4
1619039579327,-6.1035156E-5,-1.6784668E-4,1.5258789E-4
1619039579523,4.5776367E-5,-4.8828125E-4,-1.6784668E-4
1619039579724,-1.5258789E-4,-1.6784668E-4,-2.746582E-4
1619039579927,-1.6784668E-4,4.5776367E-5,-6.1035156E-5
1619039580123,-2.746582E-4,-6.1035156E-5,-2.746582E-4
1619039580326,-6.1035156E-5,1.5258789E-4,1.5258789E-4
1619039580527,2.593994E-4,-6.1035156E-5,1.5258789E-4
1619039580725,1.5258789E-4,-6.1035156E-5,-6.1035156E-5
1619039580923,-6.1035156E-5,4.5776367E-5,-6.1035156E-5
1619039581122,-6.1035156E-5,2.593994E-4,-6.1035156E-5
1619039581322,4.5776367E-5,1.5258789E-4,-2.746582E-4
1619039581520,-6.1035156E-5,2.593994E-4,4.7302246E-4
1619039581721,1.5258789E-4,6.866455E-4,4.5776367E-5
1619039581921,-6.1035156E-5,-6.1035156E-5,3.6621094E-4
1619039582119,-6.1035156E-5,-2.746582E-4,4.5776367E-5
1619039582320,-2.746582E-4,1.5258789E-4,-1.6784668E-4
1619039582523,-2.746582E-4,1.5258789E-4,1.5258789E-4
1619039582645,4.5776367E-5,-6.1035156E-5,4.5776367E-5
1619039582839,1.5258789E-4,6.866455E-4,4.5776367E-5
1619039583001,2.593994E-4,4.5776367E-5,4.5776367E-5
1619039583202,2.593994E-4,3.6621094E-4,1.5258789E-4
1619039583401,-1.6784668E-4,2.593994E-4,1.5258789E-4
1619039583597,-6.1035156E-5,7.9345703E-4,2.593994E-4
1619039583800,3.6621094E-4,-1.6784668E-4,-6.1035156E-5
1619039583998,-6.1035156E-5,2.593994E-4,-2.746582E-4
1619039584198,-6.1035156E-5,4.5776367E-5,-6.1035156E-5
1619039584397,-1.6784668E-4,1.5258789E-4,-3.8146973E-4
1619039584563,2.593994E-4,4.5776367E-5,-6.1035156E-5
1619039584756,-3.8146973E-4,4.5776367E-5,-3.8146973E-4
1619039585120,2.593994E-4,1.5258789E-4,-1.6784668E-4
1619039585320,1.5258789E-4,2.593994E-4,-1.6784668E-4
1619039585516,4.5776367E-5,4.5776367E-5,-6.1035156E-5
1619039585561,-4.8828125E-4,2.593994E-4,1.5258789E-4
1619039590949,-6.1035156E-5,-3.8146973E-4,-1.6784668E-4
1619039591152,1.5258789E-4,3.6621094E-4,-6.1035156E-5
1619039591352,1.5258789E-4,1.5258789E-4,-2.746582E-4
1619039591549,-6.1035156E-5,1.5258789E-4,1.5258789E-4
1619039591749,4.5776367E-5,5.79834E-4,4.5776367E-5
1619039591948,1.5258789E-4,4.7302246E-4,4.5776367E-5
1619039592148,-6.1035156E-5,-4.8828125E-4,4.5776367E-5
1619039592349,-2.746582E-4,-3.8146973E-4,-2.746582E-4
1619039592546,-2.746582E-4,3.6621094E-4,-6.1035156E-5
1619039592747,-1.6784668E-4,1.5258789E-4,-6.1035156E-5
1619039592946,-1.6784668E-4,0.0017547607,-3.8146973E-4
1619039593145,4.7302246E-4,-0.0017700195,4.5776367E-5
1619039593346,-6.1035156E-5,5.79834E-4,-1.6784668E-4
1619039593550,-6.1035156E-5,3.6621094E-4,4.5776367E-5
